rank,model,method,lr,init,momentum,cv_mse,cv_r2,diverged,mean_epochs
26,ridge,sto,0.001,zeros,0.0,0.074031329540062,0.8715486262011162,0.0,100.0
27,ridge,mini,0.01,zeros,0.9,0.07445659340807072,0.8708200940836676,0.0,100.0
28,lasso,sto,0.01,xavier,0.0,0.07467900789379957,0.8705808941599665,0.0,100.0
29,normal,sto,0.01,zeros,0.0,0.07468481674655549,0.8700290446587073,0.0,100.0
30,normal,sto,0.001,zeros,0.9,0.07490078985398761,0.8696728328981598,0.0,100.0
31,ridge,mini,0.01,xavier,0.0,0.07555726272730667,0.8688492359674015,0.0,100.0
32,ridge,mini,0.001,xavier,0.9,0.07556048577076244,0.868846572328638,0.0,100.0
33,ridge,mini,0.001,zeros,0.9,0.07565337788225909,0.8686851790553172,0.0,99.8
34,ridge,mini,0.01,zeros,0.0,0.07575180208757433,0.8685234476404776,0.0,100.0
35,lasso,sto,0.001,zeros,0.9,0.0764840717366688,0.8669524752941726,0.0,100.0
36,lasso,sto,0.01,zeros,0.0,0.07652381079319684,0.8668560618366963,0.0,100.0
37,ridge,sto,0.001,xavier,0.9,0.07685779741517093,0.8668006070901857,0.0,100.0
38,ridge,sto,0.01,xavier,0.0,0.07778863417852534,0.8652750328623415,0.0,100.0
39,ridge,sto,0.001,zeros,0.9,0.07914781029912542,0.8624374961983815,0.0,100.0
40,ridge,sto,0.01,zeros,0.0,0.07917590638789686,0.862357551218342,0.0,100.0
41,polynomial,mini,0.001,zeros,0.9,0.08039020256996446,0.8604274149707883,0.0,100.0
42,lasso,mini,0.001,zeros,0.9,0.08048848069014654,0.8602590976520798,0.0,100.0
43,lasso,mini,0.01,xavier,0.0,0.08057865501798558,0.8600918204358955,0.0,100.0
44,lasso,mini,0.001,xavier,0.9,0.08058958779114012,0.8600758907326334,0.0,100.0
45,lasso,mini,0.01,zeros,0.0,0.08063737976735072,0.8600042277305668,0.0,100.0
46,polynomial,mini,0.01,zeros,0.0,0.08088872333916552,0.859569779906235,0.0,100.0
47,polynomial,mini,0.001,xavier,0.9,0.08137150267064668,0.8586881478693712,0.0,100.0
48,polynomial,mini,0.01,xavier,0.0,0.08206516706811372,0.8574968385436076,0.0,100.0
49,normal,mini,0.001,zeros,0.9,0.08284405177903358,0.8561715298379179,0.0,100.0
50,normal,mini,0.01,zeros,0.0,0.08299400120842199,0.8559155014244751,0.0,100.0
51,polynomial,sto,0.001,zeros,0.9,0.08302134744630235,0.8554936546586797,0.0,100.0
52,normal,mini,0.01,xavier,0.0,0.08309732056083788,0.8557243432396829,0.0,100.0
53,normal,mini,0.001,xavier,0.9,0.0831096171260993,0.8557057936043684,0.0,100.0
54,polynomial,sto,0.01,zeros,0.0,0.08630963585723964,0.850197311712759,0.0,100.0
55,polynomial,sto,0.01,xavier,0.0,0.09344901900318406,0.8363078391158852,0.0,100.0
56,ridge,sto,0.0001,zeros,0.0,0.09378073995747867,0.8372278253730758,0.0,100.0
57,ridge,sto,0.0001,xavier,0.0,0.094174803293623,0.836518788065993,0.0,100.0
58,polynomial,sto,0.001,xavier,0.9,0.10819304593986286,0.8087016713857285,0.0,100.0
59,lasso,sto,0.0001,zeros,0.0,0.12255880211754197,0.7872637601632558,0.0,100.0
60,lasso,sto,0.0001,xavier,0.0,0.12398262081484437,0.7846900523626859,0.0,100.0
